@relation tyrex


@attribute	text_length	numeric
@attribute	digit_frequency	numeric
@attribute	phrases_per_paragraph	numeric
@attribute	punctuation_frequency	numeric
@attribute	sentence_length_avg	numeric
@attribute	sentence_length_max	numeric
@attribute	sentence_length_min	numeric
@attribute	class	{ epic, poetry, drama, report }


@DATA
271, 0.0, 0.5416666666666666, 0.02717391304347826, 20.0, 34, 3, poetry
54, 0.04, 2.0, 0.03291139240506329, 5.9, 19, 2, epic
925, 0.026004728132387706, 0.89, 0.019236209335219235, 10.49438202247191, 32, 1, report
1745, 0.0, 1.4467213114754098, 0.028305345750531643, 5.252124645892351, 11, 1, drama
52, 0.0, 0.6, 0.020833333333333332, 16.666666666666668, 26, 1, epic
868, 0.02442159383033419, 0.7310924369747899, 0.016666666666666666, 9.931034482758621, 33, 1, report
147, 0.014705882352941176, 1.25, 0.032224532224532226, 10.0, 45, 2, epic
106, 0.0, 0.6666666666666666, 0.033576642335766425, 17.166666666666668, 23, 11, poetry
1688, 0.0, 0.4581673306772908, 0.03093951542618093, 15.08695652173913, 85, 2, drama
1673, 0.006570302233902759, 0.7455621301775148, 0.020740623013350286, 13.071428571428571, 44, 1, report
223, 0.0, 0.7894736842105263, 0.03076923076923077, 14.6, 23, 2, poetry
2714, 0.0004043671653861706, 1.5413223140495869, 0.038246134699152744, 7.627345844504021, 45, 1, drama
98, 0.0, 1.25, 0.030837004405286344, 10.0, 20, 1, epic
2552, 0.047472527472527476, 0.8103448275862069, 0.019356486210418796, 7.911854103343465, 37, 1, report
715, 0.0, 0.5121951219512195, 0.030880670987418986, 11.746031746031745, 58, 2, drama
2053, 0.023835319609967497, 0.8055555555555556, 0.022011247505593516, 10.088669950738916, 43, 1, report
370, 0.0, 0.8387096774193549, 0.022538552787663108, 14.038461538461538, 26, 3, epic
81, 0.0, 0.625, 0.029106029106029108, 15.6, 50, 2, epic
1740, 0.0012531328320802004, 1.7241379310344827, 0.03292375551354757, 7.38, 27, 1, drama
105, 0.0, 0.8888888888888888, 0.02390998593530239, 13.0, 23, 1, epic
113, 0.009523809523809525, 0.8888888888888888, 0.0351123595505618, 14.0, 28, 2, epic
283, 0.0, 1.6382978723404256, 0.03024193548387097, 4.064935064935065, 11, 1, drama
81, 0.013333333333333334, 1.1428571428571428, 0.021739130434782608, 10.25, 21, 3, epic
109, 0.0, 1.6666666666666667, 0.026350461133069828, 7.666666666666667, 15, 1, epic
79, 0.02702702702702703, 2.0, 0.03696498054474708, 7.083333333333333, 32, 2, epic
3873, 0.0, 0.6377245508982036, 0.022462698803082472, 17.760563380281692, 83, 1, epic
53, 0.02040816326530612, 0.6, 0.023809523809523808, 17.0, 25, 3, epic
90, 0.024096385542168676, 1.75, 0.03271028037383177, 6.857142857142857, 19, 1, epic
1642, 0.01453287197231834, 1.1435643564356435, 0.04037162162162162, 7.251082251082251, 90, 1, drama
389, 0.0, 1.5588235294117647, 0.03098259073473001, 4.028301886792453, 10, 1, drama
9312, 0.0, 0.7643229166666666, 0.024472629731430273, 15.555366269165248, 60, 1, epic
411, 0.0, 0.33766233766233766, 0.018545994065281898, 16.115384615384617, 35, 2, poetry
50, 0.0, 1.2, 0.021798365122615803, 8.5, 15, 2, poetry
519, 0.01059322033898305, 0.5901639344262295, 0.016092532059341212, 14.083333333333334, 55, 1, report
846, 0.014193548387096775, 0.6344086021505376, 0.02188006482982172, 14.11864406779661, 48, 1, report
